site,out_L,pos,xs_N,xs_CN,CA,ei,mx_D,avg_D,bkf_W,bkf_A,cd_R,wd_R,bkf_R,bkf_L
site_2,hx3ds_4us,downstream,riffle,xs6,38.97167,0.003865073,0.785,0.503,4.365,2.697,8.023,5.561,49.176,49.224
site_2,hx3ds_4us,downstream,pool,xs7,38.97167,0.003865073,1.151,0.594,4.786,3.505,5.422,4.158,49.113,49.363
site_2,hx3ds_4us,downstream,riffle,xs8,38.97167,0.003865073,0.834,0.488,3.944,1.859,7.124,4.729,49.598,49.181
site_2,hx4ds_5us,downstream,pool,xs1,38.97167,0.003922124,1.139,0.617,3.936,2.93,5.356,3.456,49.36,49.261
site_2,hx4ds_5us,downstream,riffle,xs2,38.97167,0.003922124,0.989,0.486,7.31,4.243,5.882,7.392,49.141,49.114
site_2,hx4ds_5us,downstream,pool,xs3,38.97167,0.003922124,1.029,0.521,4.293,3.001,5.916,4.172,48.916,49.04
site_2,hx4ds_5us,downstream,riffle,xs4,38.97167,0.003922124,0.543,0.255,3.459,1.037,10.4,6.369,48.691,49.094
site_2,hx4ds_5us,downstream,pool,xs5,38.97167,0.003922124,1.009,0.539,4.879,3.442,5.713,4.835,48.857,48.986
site_2,hx4ds_5us,downstream,riffle,xs6,38.97167,0.003922124,0.894,0.54,3.816,2.106,5.86,4.268,48.878,48.878
site_2,hx4ds_5us,downstream,pool,xs7,38.97167,0.003922124,1.032,0.62,4.117,3.131,5.686,3.989,48.878,49.161
site_2,hx4ds_5us,downstream,riffle,xs8,38.97167,0.003922124,0.452,0.221,2.766,0.651,10.869,6.119,48.635,48.644
site_2,ds_hx5,downstream,pool,xs1,39.269128,0.005501858,1.123,0.639,4.715,3.507,5.255,4.198,48.623,48.744
site_2,ds_hx5,downstream,riffle,xs2,39.269128,0.005501858,0.778,0.408,3.273,1.745,6.855,4.208,48.977,48.515
site_2,ds_hx5,downstream,pool,xs3,39.269128,0.005501858,1.197,0.679,4.137,3.557,4.632,3.456,49.147,48.927
site_2,ds_hx5,downstream,riffle,xs4,39.269128,0.005501858,0.879,0.484,3.362,1.753,6.331,3.825,48.818,48.818
site_2,ds_hx5,downstream,pool,xs5,39.269128,0.005501858,1.272,0.729,4.775,4.494,3.925,3.754,49.042,48.986
site_2,ds_hx5,downstream,riffle,xs6,39.269128,0.005501858,0.999,0.436,3.39,1.853,4.9,3.394,48.827,48.685
site_2,ds_hx5,downstream,pool,xs7,39.269128,0.005501858,1.268,0.675,3.563,2.885,3.875,2.81,48.957,48.845
site_2,ds_hx5,downstream,riffle,xs8,39.269128,0.005501858,0.412,0.231,2.401,0.68,11.803,5.827,48.437,48.335
site_3,us_hx6,upstream,riffle ,xs8,39.269128,0.005501858,0.911,0.43,4.156,2.138,4.997,4.562,47.467,47.669
site_3,us_hx6,upstream,pool,xs7,39.269128,0.005501858,1.837,0.936,4.145,4.813,2.478,2.256,47.623,47.423
site_3,us_hx6,upstream,riffle ,xs6,39.269128,0.005501858,0.588,0.312,2.502,0.878,7.741,4.256,47.537,47.097
site_3,us_hx6,upstream,pool,xs5,39.269128,0.005501858,1.216,0.674,3.931,3.245,3.842,3.233,47.427,47.341
site_3,us_hx6,upstream,riffle ,xs4,39.269128,0.005501858,0.806,0.507,4.366,2.658,5.212,5.417,47.453,47.338
site_3,us_hx6,upstream,pool,xs3,39.269128,0.005501858,0.889,0.367,3.624,2.109,4.543,4.076,47.228,47.126
site_3,us_hx6,upstream,riffle ,xs2,39.269128,0.005501858,0.659,0.402,4.526,2.134,5.313,6.868,47.15,47.369
site_3,us_hx6,upstream,pool,xs1,39.269128,0.005501858,1.402,0.736,3.456,3.778,3.31,2.465,47.333,47.171
site_3,ds_hx6,downstream,pool,xs1,39.49191,0.006937358,0.871,0.474,4.116,2.394,3.503,4.726,47.037,47.037
site_3,ds_hx6,downstream,riffle,xs2,39.49191,0.006937358,0.509,0.233,2.491,0.677,6.739,4.895,46.98,46.993
site_3,ds_hx6,downstream,pool,xs3,39.49191,0.006937358,0.856,0.404,4.153,2.66,4.894,4.851,46.917,46.897
