Long,Lat,Desc,pos,bkf_W,bkf_D
145.4674749,-38.05325252,up_xs6_riffle,,7.733203541,-3.432
145.4674698,-38.0532497,up_xs6_riffle,bkf_WL,8.279271466,-3.243
145.4674666,-38.0532474,up_xs6_riffle,bkf,8.653200333,-2.939
145.4674626,-38.05324542,up_xs6_riffle,,9.07052595,-2.741
145.4674606,-38.05324431,up_xs6_riffle,,9.280162984,-2.597
145.4674566,-38.05324242,up_xs6_riffle,,9.690999587,-2.457
145.4674523,-38.05323996,up_xs6_riffle,,10.15694964,-2.538
145.4674482,-38.05323713,up_xs6_riffle,,10.62860165,-2.441
145.4674365,-38.05323042,up_xs6_riffle,,11.9011978,-1.632
145.4674222,-38.05322133,up_xs6_riffle,,13.50883814,-0.967
145.4674135,-38.05321548,up_xs6_riffle,,14.50993939,-0.955
145.4674017,-38.05320892,up_xs6_riffle,,15.7736749,-0.862
145.4673881,-38.05320007,up_xs6_riffle,,17.31697387,-0.399
145.4673619,-38.05318423,up_xs6_riffle,,20.21224245,0.959
145.467335,-38.05316724,up_xs6_riffle,,23.23327091,1.738
145.4675627,-38.05328585,up_xs5_pool,,0,0
145.4675792,-38.05327657,up_xs5_pool,,1.775063379,-0.674
145.4675909,-38.05327146,up_xs5_pool,,2.94490628,-0.998
145.467602,-38.05326976,up_xs5_pool,,3.886264016,-2.23
145.4676147,-38.05326844,up_xs5_pool,,4.95428461,-2.692
145.4676237,-38.05326526,up_xs5_pool,,5.819770184,-2.26
145.4676372,-38.05326368,up_xs5_pool,,6.982945295,-2.354
145.4676535,-38.05325936,up_xs5_pool,,8.491394997,-2.432
145.4676705,-38.05325599,up_xs5_pool,,10.02624606,-2.753
145.4676765,-38.05325538,up_xs5_pool,,10.5438098,-2.641
145.4676973,-38.05325029,up_xs5_pool,,12.45080098,-3.22
145.4677014,-38.0532501,up_xs5_pool,,12.79774293,-3.154
145.4677067,-38.05324883,up_xs5_pool,bkf,13.28937986,-3.18
145.4677094,-38.05324887,up_xs5_pool,bkf_WL,13.51438027,-3.494
145.4677111,-38.05324842,up_xs5_pool,,13.66744636,-3.784
145.4677133,-38.05324735,up_xs5_pool,,13.88846896,-3.943
145.4677157,-38.05324631,up_xs5_pool,,14.12478559,-4.069
145.4677224,-38.05324486,up_xs5_pool,bkf_M,14.73359461,-4.206
145.4677313,-38.05324353,up_xs5_pool,,15.51796514,-4.197
145.4677423,-38.05324203,up_xs5_pool,,16.49442103,-3.827
145.4677461,-38.05324159,up_xs5_pool,bkf_WL,16.82685642,-3.524
145.4677486,-38.05324096,up_xs5_pool,bkf,17.05990399,-3.18
145.4677519,-38.05323822,up_xs5_pool,,17.42169917,-2.761
145.4677561,-38.0532372,up_xs5_pool,,17.81222538,-2.356
145.467765,-38.05323617,up_xs5_pool,,18.58961067,-1.705
145.4677765,-38.05323415,up_xs5_pool,,19.62264865,-0.818
145.4677787,-38.05323398,up_xs5_pool,,19.80641159,-0.122
145.4678005,-38.05323329,up_xs5_pool,,21.667818,0.968
145.4678245,-38.05323551,up_xs5_pool,,23.63968953,1.505
145.467638,-38.05342771,up_xs4_riffle,,0,0
