Long,Lat,Desc,pos,bkf_W,bkf_D
145.4667092,-38.05572534,up_xs8_riffle,,0,0
145.4667119,-38.05573218,up_xs8_riffle,,0.795326977,-0.621
145.466713,-38.05573773,up_xs8_riffle,,1.415247327,-1.441
145.4667248,-38.05576981,up_xs8_riffle,,5.122113626,-4.01
145.4667247,-38.05577589,up_xs8_riffle,,5.772093987,-4.384
145.4667239,-38.05578478,up_xs8_riffle,,6.720587177,-4.833
145.466724,-38.05578936,up_xs8_riffle,,7.221389616,-4.951
145.4667248,-38.0557911,up_xs8_riffle,bkf,7.424836496,-5.312
145.4667248,-38.05579205,up_xs8_riffle,,7.529902058,-5.374
145.4667266,-38.05579754,up_xs8_riffle,,8.158292591,-5.622
145.4667269,-38.05580042,up_xs8_riffle,,8.47558877,-5.697
145.4667284,-38.05580343,up_xs8_riffle,,8.828741076,-5.87
145.4667289,-38.05580675,up_xs8_riffle,,9.198132963,-6.076
145.4667298,-38.0558088,up_xs8_riffle,,9.437143265,-6.253
145.46673,-38.05581119,up_xs8_riffle,,9.7022283,-6.176
145.4667299,-38.05581427,up_xs8_riffle,,10.03586234,-5.984
145.4667301,-38.05581525,up_xs8_riffle,,10.14646801,-6.053
145.466731,-38.05581623,up_xs8_riffle,bkf_WL,10.26771503,-5.768
145.4667304,-38.05582093,up_xs8_riffle,,10.76943824,-5.699
145.4667303,-38.05582457,up_xs8_riffle,,11.16680599,-5.635
145.46673,-38.05583064,up_xs8_riffle,,11.82708637,-5.624
145.4667311,-38.05583328,up_xs8_riffle,,12.13097197,-5.491
145.4667304,-38.05583547,up_xs8_riffle,,12.36266885,-5.447
145.4667314,-38.05583645,up_xs8_riffle,bkf,12.48452258,-5.312
145.4667306,-38.0558512,up_xs8_riffle,,14.09324168,-5.246
145.4667318,-38.05585769,up_xs8_riffle,,14.82111619,-4.964
145.4667349,-38.05586353,up_xs8_riffle,,15.50074947,-4.436
145.4667386,-38.05587292,up_xs8_riffle,,16.57978857,-4.231
145.4667405,-38.0559168,up_xs8_riffle,,21.42516287,-3.862
145.466746,-38.05593227,up_xs8_riffle,,23.19106546,-3.956
145.4667507,-38.05594582,up_xs8_riffle,,24.7374572,-4.09
145.4667547,-38.05596037,up_xs8_riffle,,26.38716127,-4.032
145.4667588,-38.05596978,up_xs8_riffle,,27.47524559,-3.587
145.4667626,-38.05598257,up_xs8_riffle,,28.92935888,-3.331
145.4667678,-38.05599461,up_xs8_riffle,,30.32392366,-3.085
145.4667725,-38.05601459,up_xs8_riffle,,32.57696893,-1.454
145.4667808,-38.05602831,up_xs8_riffle,,34.20545964,-0.452
145.4668008,-38.05605708,up_xs8_riffle,,37.6835016,-0.492
145.4668264,-38.05598408,up_xs7_pool,,0,0
145.466818,-38.05598019,up_xs7_pool,,0.856487011,-0.763
145.4668147,-38.05597771,up_xs7_pool,,1.249745574,-1.103
145.4668103,-38.055974,up_xs7_pool,,1.803472761,-1.794
145.466806,-38.05597109,up_xs7_pool,,2.29894454,-2.082
145.4667969,-38.05596664,up_xs7_pool,,3.230917052,-2.647
145.4667872,-38.05596248,up_xs7_pool,,4.192736696,-3.208
145.4667784,-38.05595945,up_xs7_pool,,5.024390112,-3.317
145.4667727,-38.0559562,up_xs7_pool,,5.640970218,-3.646
145.4667632,-38.05595135,up_xs7_pool,,6.628989138,-4.102
145.4667501,-38.0559429,up_xs7_pool,,8.104844539,-4.04
145.4667403,-38.0559371,up_xs7_pool,,9.180012255,-4.03
145.4667252,-38.05593053,up_xs7_pool,,10.68551098,-4.179
145.4667175,-38.05592678,up_xs7_pool,,11.48323238,-4.156
145.4667047,-38.05592189,up_xs7_pool,,12.72009568,-4.494
145.4666927,-38.05591626,up_xs7_pool,,13.94082756,-4.552
145.4666854,-38.05591415,up_xs7_pool,,14.61054965,-4.915
145.4666801,-38.05591272,up_xs7_pool,bkf,15.08360053,-5.445
145.4666782,-38.05591179,up_xs7_pool,,15.28254864,-5.538
145.4666763,-38.0559115,up_xs7_pool,,15.43724616,-5.73
145.4666724,-38.05591052,up_xs7_pool,,15.79046551,-5.888
145.4666696,-38.05591031,up_xs7_pool,,16.0151231,-5.915
145.4666655,-38.05590914,up_xs7_pool,,16.38669427,-6.023
145.466657,-38.05590534,up_xs7_pool,,17.24395917,-6.186
145.4666492,-38.05590239,up_xs7_pool,,17.99847994,-6.394
145.4666424,-38.05590003,up_xs7_pool,,18.65131119,-6.528
145.4666345,-38.05589643,up_xs7_pool,,19.44902836,-6.545
145.4666273,-38.05589391,up_xs7_pool,,20.13487805,-6.396
145.4666147,-38.05589534,up_xs7_pool,,21.03031536,-6.279
145.4666063,-38.05589286,up_xs7_pool,,21.80665609,-6.04
145.4666009,-38.05588999,up_xs7_pool,,22.37888212,-5.918
145.4665952,-38.05589185,up_xs7_pool,bkf,22.72661103,-5.445
145.4665933,-38.0558898,up_xs7_pool,,22.97307685,-4.661
145.4665902,-38.05588933,up_xs7_pool,,23.24661251,-4.576
