site,out_L,pos,xs_N,xs_CN,xs_CN2,CA,ei,Bars,Log_jams,Big_T,lwd,xs_D,lwd_N,pool_D,riffle_D
site_11,us_hx15,upstream,riffle,p5_r4,p_r,43.307658,0.04324101,0,0,0,0,6.504,0,,16.658
site_11,us_hx15,upstream,pool,r4_p3,r_p,43.307658,0.04324101,0,0,0,2,12.37,0.161681487,18.874,
site_11,us_hx15,upstream,riffle,p3_r2,p_r,43.307658,0.04324101,0,0,0,2,19.401,0.10308747,,31.771
site_11,us_hx15,upstream,pool,r2_p1,r_p,43.307658,0.04324101,0,0,1,8,10.735,0.745225897,30.136,
site_11,ds_hx15,downstream,pool,r1_p2,r_p,43.42489,0.04411612,1,0,0,0,5.667,0,,
site_11,ds_hx15,downstream,riffle,p2_r3,p_r,43.42489,0.04411612,0,0,0,0,5.263,0,,10.93
site_11,ds_hx15,downstream,pool,r3_p4,r_p,43.42489,0.04411612,0,0,0,1,18.334,0.054543471,23.597,
site_11,ds_hx15,downstream,riffle,p4_r5,p_r,43.42489,0.04411612,0,0,0,12,79.865,0.150253553,,98.199
site_11,ds_hx15,downstream,pool,r5_p6,r_p,43.42489,0.04411612,1,0,0,2,5.383,0.371540033,23.717,
site_11,ds_hx15,downstream,riffle,p6_r7,p_r,43.42489,0.04411612,0,1,1,12,17.384,0.690289922,,22.767
site_11,ds_hx15,downstream,pool,r7_p8,r_p,43.42489,0.04411612,1,0,0,4,15.251,0.262277883,32.635,
