site,out_L,pos,CA,ei,xs_N,xs_CN,mx_D,avg_D,bkf_W,bkf_A,cd_R,wd_R,bkf_R,bkf_L,xs_D,lwd_N,pool_D,riffle_D
site_10,ds_hx14,downstream,43.307658,0.04324101,pool,xs3,1.681,0.931,6.833,7.23,1.973,4.065,29.167,29.06,18.304,0.000,47.362,
site_10,ds_hx14,downstream,43.307658,0.04324101,riffle,xs4,0.984,0.525,5.813,3.396,2.896,5.907,29.062,29.279,7.025,0.000,,25.329
site_10,ds_hx14,downstream,43.307658,0.04324101,pool,xs5,1.847,0.957,5.694,5.767,1.785,3.083,29.198,29.167,10.769,0.279,17.794,
site_10,ds_hx14,downstream,43.307658,0.04324101,riffle,xs6,1.511,0.681,6.166,4.403,1.823,4.081,29.253,29.529,12.642,0.079,,23.411
site_10,ds_hx14,downstream,43.307658,0.04324101,pool,xs7,2.49,1.201,7.415,10.885,1.516,2.978,29.294,29.154,12.725,0.472,25.367,
site_10,ds_hx14,downstream,43.307658,0.04324101,riffle,xs8,1.154,0.684,10.15,7.368,2.006,8.795,29.475,29.221,12.912,0.310,,25.637
site_10,ds_hx14,downstream,43.307658,0.04324101,pool,xs9,2.673,0.996,4.646,6.092,1.343,1.738,29.191,29.433,28.187,0.284,41.099,
site_11,us_hx15,upstream,43.307658,0.04324101,riffle,xs8,0.847,0.303,5.79,1.755,2.202,9.041,28.877,28.765,,,,
site_11,us_hx15,upstream,43.307658,0.04324101,pool,xs7,3.131,1.484,8.908,17.961,1.205,2.969,29.284,29.315,8.146,0.246,,
site_11,us_hx15,upstream,43.307658,0.04324101,riffle,xs6,0.745,0.393,7.172,2.868,1.866,6.131,28.747,28.692,15.979,0.313,,0.558
site_11,us_hx15,upstream,43.307658,0.04324101,pool,xs5,2.638,1.036,6.391,8.625,1.404,3.001,28.798,28.969,10.154,0.689,26.133,
site_11,us_hx15,upstream,43.307658,0.04324101,riffle,xs4,1.131,0.604,7.674,4.855,1.804,4.47,28.86,29.083,6.504,0.000,,16.658
site_11,us_hx15,upstream,43.307658,0.04324101,pool,xs3,2.762,1.153,8.128,11.634,1.237,2.495,28.983,29.43,12.370,0.162,18.874,
site_11,us_hx15,upstream,43.307658,0.04324101,riffle,xs2,1.01,0.602,5.074,3.335,2.077,4.973,28.6,29.002,19.401,0.103,,31.771
site_11,us_hx15,upstream,43.307658,0.04324101,pool,xs1,2.818,1.43,7.556,14.616,1.223,3.302,28.865,28.818,10.735,0.745,30.136,
site_11,ds_hx15,downstream,43.42489,0.04411612,riffle,xs1,0.868,0.423,7.847,3.459,2.403,9.041,28.226,29.378,,,,
site_11,ds_hx15,downstream,43.42489,0.04411612,pool,xs2,1.642,0.845,4.875,4.338,1.709,2.969,28.247,28.682,5.667,0.000,,
site_11,ds_hx15,downstream,43.42489,0.04411612,riffle,xs3,1.023,0.59,6.272,3.665,1.708,6.131,28.448,28.303,5.263,0.000,,10.930
site_11,ds_hx15,downstream,43.42489,0.04411612,pool,xs4,2.949,1.581,8.85,16.484,1.178,3.001,28.859,28.753,18.334,0.055,23.597,
site_11,ds_hx15,downstream,43.42489,0.04411612,riffle,xs5,1.342,0.886,5.999,5.302,1.496,4.47,27.621,28.109,79.865,0.150,,98.199
site_11,ds_hx15,downstream,43.42489,0.04411612,pool,xs6,2.7,1.337,6.736,11.706,1,2.495,28.029,28.414,2.639,0.758,20.973,
site_11,ds_hx15,downstream,43.42489,0.04411612,riffle,xs7,1.146,0.695,5.699,3.442,na,4.973,28.179,27.55,19.266,0.623,,21.905
site_11,ds_hx15,downstream,43.42489,0.04411612,pool,xs8,2.391,1.379,7.894,12.498,na,3.302,27.999,28.271,15.251,0.262,34.517,
