site,out_L,pos,CA,ei,xs_N,xs_CN,mx_D,avg_D,bkf_W,bkf_A,cd_R,wd_R,bkf_R,bkf_L,xs_D,lwd_N,pool_D,riffle_D
site_2,hx3ds_4us,upstream_downstream,38.962702,0.003865073,riffle,xs8,0.834,0.488,3.944,1.859,7.124,4.729,49.598,49.181,5.494,0.000,,25.527
site_2,hx4ds_5us,upstream_downstream,38.97167,0.003922124,pool,xs1,1.139,0.617,3.936,2.93,5.356,3.456,49.36,49.261,,,,
site_2,hx4ds_5us,upstream_downstream,38.97167,0.003922124,riffle,xs2,0.989,0.486,7.31,4.243,5.882,7.392,49.141,49.114,23.421,0.854,,
site_2,hx4ds_5us,upstream_downstream,38.97167,0.003922124,pool,xs3,1.029,0.521,4.293,3.001,5.916,4.172,48.916,49.04,16.633,0.301,40.054,
site_2,hx4ds_5us,upstream_downstream,38.97167,0.003922124,riffle,xs4,0.543,0.255,3.459,1.037,10.4,6.369,48.691,49.094,19.055,0.577,,35.688
site_2,hx4ds_5us,upstream_downstream,38.97167,0.003922124,pool,xs5,1.009,0.539,4.879,3.442,5.713,4.835,48.857,48.986,17.706,0.452,36.761,
site_2,hx4ds_5us,upstream_downstream,38.97167,0.003922124,riffle,xs6,0.894,0.54,3.816,2.106,5.86,4.268,48.878,48.878,3.175,2.520,,20.881
site_2,hx4ds_5us,upstream_downstream,38.97167,0.003922124,pool,xs7,1.032,0.62,4.117,3.131,5.686,3.989,48.878,49.161,10.755,0.651,13.930,
site_2,hx4ds_5us,upstream_downstream,38.97167,0.003922124,riffle,xs8,0.452,0.221,2.766,0.651,10.869,6.119,48.635,48.644,8.390,1.430,,19.145
site_2,ds_hx5,downstream,39.269128,0.005501858,pool,xs1,1.123,0.639,4.715,3.507,5.255,4.198,48.623,48.744,,,,
site_2,ds_hx5,downstream,39.269128,0.005501858,riffle,xs2,0.778,0.408,3.273,1.745,6.855,4.208,48.977,48.515,15.055,0.797,,
site_2,ds_hx5,downstream,39.269128,0.005501858,pool,xs3,1.197,0.679,4.137,3.557,4.632,3.456,49.147,48.927,7.158,0.279,22.213,
site_2,ds_hx5,downstream,39.269128,0.005501858,riffle,xs4,0.879,0.484,3.362,1.753,6.331,3.825,48.818,48.818,7.288,0.137,,14.446
site_2,ds_hx5,downstream,39.269128,0.005501858,pool,xs5,1.272,0.729,4.775,4.494,3.925,3.754,49.042,48.986,31.850,0.440,39.138,
site_2,ds_hx5,downstream,39.269128,0.005501858,riffle,xs6,0.999,0.436,3.39,1.853,4.9,3.394,48.827,48.685,8.024,0.997,,39.874
site_2,ds_hx5,downstream,39.269128,0.005501858,pool,xs7,1.268,0.675,3.563,2.885,3.875,2.81,48.957,48.845,11.884,0.337,19.908,
site_2,ds_hx5,downstream,39.269128,0.005501858,riffle,xs8,0.412,0.231,2.401,0.68,11.803,5.827,48.437,48.335,8.623,0.812,,20.507
site_3,us_hx6,upstream,39.269128,0.005501858,riffle ,xs8,0.911,0.43,4.156,2.138,4.997,4.562,47.467,47.669,,,,
site_3,us_hx6,upstream,39.269128,0.005501858,pool,xs7,1.837,0.936,4.145,4.813,2.478,2.256,47.623,47.423,6.054,0.330,,
site_3,us_hx6,upstream,39.269128,0.005501858,riffle ,xs6,0.588,0.312,2.502,0.878,7.741,4.256,47.537,47.097,8.123,0.739,,14.177
site_3,us_hx6,upstream,39.269128,0.005501858,pool,xs5,1.216,0.674,3.931,3.245,3.842,3.233,47.427,47.341,15.915,0.503,24.038,
site_3,us_hx6,upstream,39.269128,0.005501858,riffle ,xs4,0.806,0.507,4.366,2.658,5.212,5.417,47.453,47.338,7.070,0.283,,22.985
site_3,us_hx6,upstream,39.269128,0.005501858,pool,xs3,0.889,0.367,3.624,2.109,4.543,4.076,47.228,47.126,17.089,0.644,24.159,
site_3,us_hx6,upstream,39.269128,0.005501858,riffle ,xs2,0.659,0.402,4.526,2.134,5.313,6.868,47.15,47.369,7.383,0.542,,24.472
site_3,us_hx6,upstream,39.269128,0.005501858,pool,xs1,1.402,0.736,3.456,3.778,3.31,2.465,47.333,47.171,50.615,0.751,57.998,
site_3,ds_hx6,downstream,39.49191,0.006937358,pool,xs1,0.871,0.474,4.116,2.394,3.503,4.726,47.037,47.037,,,,
site_3,ds_hx6,downstream,39.49191,0.006937358,riffle,xs2,0.509,0.233,2.491,0.677,6.739,4.895,46.98,46.993,9.244,0.649,,
site_3,ds_hx6,downstream,39.49191,0.006937358,pool,xs3,0.856,0.404,4.153,2.66,4.894,4.851,46.917,46.897,35.630,0.112,44.874,
site_3,ds_hx6,downstream,39.49191,0.006937358,riffle,xs4,0.433,0.252,2.517,0.758,8.09,5.813,46.765,47.008,33.162,0.302,,68.792
site_3,ds_hx6,downstream,39.49191,0.006937358,pool,xs5,0.892,0.448,3.209,1.529,4.589,3.598,46.723,46.889,8.456,0.946,41.618,
site_3,ds_hx6,downstream,39.49191,0.006937358,riffle,xs6,0.472,0.21,5.148,1.163,7.369,10.906,46.705,46.853,6.590,2.731,,15.046
site_3,ds_hx6,downstream,39.49191,0.006937358,pool,xs7,1.017,0.436,6.047,3.088,2.803,5.946,46.729,46.639,13.809,0.652,20.399,
site_3,ds_hx6,downstream,39.49191,0.006937358,riffle,xs8,0.58,0.234,3.402,0.954,4.626,5.866,46.978,46.542,11.011,1.362,,24.820
site_4,us_hx7,upstream,39.49191,0.006937358,pool,xs4,1.692,0.958,7.051,7.315,2.418,4.167,46.821,47.118,10.001,0.300,,
